city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target
0.8959999999999999,1.0,0.0,2.0,9,5,4,59,0
0.92,1.0,1.0,2.0,10,75,1,260,0
0.624,1.0,0.0,2.0,11,75,5,74,0
0.91,1.0,0.0,4.0,21,250,2,20,1
0.878,1.0,0.0,2.0,12,250,2,8,0
0.92,1.0,0.0,2.0,6,250,1,131,0
0.836,1.0,2.0,3.0,7,0,1,45,0
0.693,1.0,2.0,2.0,11,25,2,109,0
0.855,1.0,0.0,2.0,3,250,1,70,0
0.92,1.0,0.0,2.0,21,250,5,17,0
0.92,0.0,0.0,3.0,15,75,1,51,0
0.92,1.0,0.0,2.0,6,75,3,60,1
0.893,0.0,0.0,4.0,21,2500,5,4,0
0.926,0.0,0.0,2.0,12,250,5,7,0
0.804,1.0,0.0,3.0,21,250,3,164,0
0.6659999999999999,1.0,0.0,2.0,20,0,4,290,0
0.804,0.0,0.0,1.0,2,5,0,145,0
0.92,0.0,0.0,3.0,3,10000,1,133,1
0.55,0.0,2.0,2.0,2,0,1,20,0
0.92,1.0,0.0,2.0,10,5,1,76,0
0.698,0.0,2.0,3.0,5,0,4,21,1
0.624,1.0,0.0,2.0,8,7500,2,34,0
0.92,0.0,0.0,2.0,9,5,2,15,0
0.866,0.0,0.0,2.0,21,0,5,156,0
0.92,1.0,0.0,2.0,21,7500,5,15,0
0.926,1.0,0.0,3.0,21,0,0,120,0
0.754,1.0,0.0,2.0,12,0,2,100,1
0.855,1.0,1.0,2.0,6,750,0,102,0
0.92,0.0,0.0,1.0,4,0,0,52,0
0.92,1.0,2.0,1.0,4,0,1,112,1
0.92,0.0,0.0,4.0,21,75,5,14,0
0.91,1.0,0.0,3.0,21,2500,5,55,0
0.624,1.0,0.0,2.0,6,10000,4,49,1
0.91,1.0,0.0,2.0,15,0,5,72,0
0.925,1.0,2.0,2.0,14,7500,3,141,1
0.92,1.0,0.0,2.0,13,10000,1,6,0
0.92,1.0,0.0,2.0,17,7500,1,125,0
0.939,1.0,0.0,2.0,21,0,0,326,0
0.92,1.0,0.0,2.0,21,250,2,33,0
0.804,0.0,0.0,3.0,6,10000,5,40,0
0.92,1.0,0.0,2.0,18,0,1,198,1
0.92,1.0,0.0,3.0,15,10000,5,55,0
0.698,0.0,0.0,2.0,21,750,5,32,0
0.92,1.0,0.0,2.0,21,250,5,11,0
0.754,1.0,0.0,2.0,21,5,1,41,0
0.92,1.0,0.0,3.0,21,10000,5,87,1
0.855,1.0,0.0,3.0,10,250,4,114,0
0.698,1.0,1.0,3.0,5,5,1,15,0
0.91,0.0,2.0,1.0,3,0,1,8,0
0.878,1.0,1.0,1.0,2,250,1,22,0
0.92,1.0,0.0,3.0,21,7500,4,13,0
0.949,1.0,0.0,2.0,21,5,1,246,0
0.92,1.0,0.0,3.0,9,25,1,22,0
0.92,1.0,0.0,3.0,21,5,1,81,0
0.7759999999999999,1.0,2.0,2.0,4,25,1,11,0
0.92,1.0,0.0,2.0,21,250,1,50,0
0.924,0.0,2.0,1.0,6,0,0,15,0
0.939,1.0,0.0,3.0,21,25,5,31,0
0.926,1.0,0.0,3.0,21,75,0,84,0
0.897,1.0,1.0,2.0,4,10000,1,42,0
0.624,1.0,0.0,2.0,10,25,5,105,1
0.92,1.0,0.0,2.0,21,75,5,72,0
0.789,1.0,0.0,2.0,14,25,5,42,1
0.698,1.0,0.0,2.0,15,75,1,152,0
0.92,1.0,0.0,2.0,12,10000,1,60,0
0.624,0.0,2.0,3.0,2,0,0,8,0
0.91,0.0,2.0,3.0,13,0,3,17,1
0.923,0.0,0.0,1.0,1,0,1,33,0
0.91,1.0,0.0,3.0,4,250,0,38,0
0.92,1.0,0.0,2.0,14,5,2,178,0
0.92,1.0,0.0,2.0,15,75,1,11,0
0.893,1.0,0.0,1.0,21,0,0,87,0
0.802,1.0,0.0,2.0,13,0,0,84,0
0.884,1.0,0.0,2.0,21,250,2,32,0
0.887,1.0,0.0,3.0,9,250,1,31,1
0.624,0.0,0.0,2.0,2,750,1,39,0
0.775,1.0,0.0,2.0,7,25,1,12,0
0.624,1.0,2.0,2.0,5,10000,1,50,0
0.903,1.0,0.0,2.0,3,250,1,55,1
0.92,1.0,0.0,3.0,2,75,1,104,0
0.92,1.0,2.0,2.0,21,0,5,90,1
0.92,1.0,0.0,3.0,21,250,5,8,0
0.624,0.0,2.0,2.0,2,0,0,102,0
0.624,1.0,0.0,3.0,0,25,1,202,1
0.555,1.0,0.0,2.0,4,250,1,22,0
0.624,1.0,0.0,3.0,3,75,1,88,0
0.754,1.0,0.0,2.0,5,2500,4,81,0
0.92,1.0,0.0,3.0,21,10000,1,7,0
0.91,1.0,0.0,2.0,21,10000,5,62,0
0.92,1.0,0.0,2.0,6,75,1,83,0
0.939,1.0,0.0,2.0,9,2500,5,11,0
0.939,1.0,0.0,3.0,10,2500,1,114,0
0.624,1.0,0.0,3.0,3,75,1,36,0
0.91,0.0,2.0,2.0,2,0,0,80,1
0.92,1.0,1.0,2.0,21,75,5,108,0
0.92,1.0,0.0,2.0,2,250,2,45,0
0.92,0.0,2.0,2.0,5,0,0,77,0
0.926,1.0,0.0,3.0,15,250,2,8,0
0.878,0.0,0.0,2.0,5,0,1,28,0
0.727,1.0,0.0,2.0,9,250,5,37,0
0.91,0.0,2.0,2.0,2,0,2,108,1
0.92,1.0,0.0,2.0,13,750,2,162,0
0.754,1.0,2.0,1.0,9,0,5,41,0
0.903,1.0,0.0,3.0,19,250,4,4,0
0.884,0.0,0.0,4.0,3,2500,1,41,0
0.903,1.0,0.0,2.0,17,10000,2,12,0
0.92,1.0,0.0,2.0,21,75,1,190,0
0.624,1.0,0.0,2.0,7,75,5,29,1
0.92,1.0,0.0,2.0,6,250,1,11,0
0.92,0.0,2.0,1.0,3,10000,1,30,0
0.804,1.0,2.0,1.0,9,0,1,16,0
0.926,0.0,0.0,2.0,21,75,5,5,0
0.698,0.0,2.0,1.0,8,0,0,39,0
0.926,1.0,0.0,3.0,10,75,5,29,0
0.624,1.0,2.0,3.0,4,75,2,210,0
0.92,0.0,1.0,1.0,6,75,1,54,0
0.92,1.0,0.0,2.0,9,75,3,44,0
0.91,1.0,0.0,2.0,15,0,5,47,0
0.92,1.0,0.0,2.0,21,2500,5,74,0
0.624,1.0,0.0,3.0,6,25,1,8,1
0.624,0.0,2.0,2.0,7,0,0,20,1
0.92,1.0,0.0,2.0,3,750,1,162,0
0.893,0.0,0.0,2.0,2,75,1,110,0
0.762,1.0,1.0,1.0,3,25,1,262,0
0.836,1.0,0.0,3.0,14,0,1,6,0
0.6659999999999999,1.0,1.0,2.0,9,25,1,19,1
0.6659999999999999,0.0,0.0,2.0,21,75,5,23,1
0.926,1.0,0.0,3.0,11,25,1,40,0
0.884,1.0,0.0,2.0,12,75,1,11,0
0.92,1.0,0.0,2.0,11,0,3,102,0
0.624,0.0,2.0,2.0,2,0,0,100,0
0.923,0.0,0.0,3.0,3,10000,0,30,0
0.92,0.0,0.0,1.0,5,0,1,20,1
0.92,1.0,0.0,2.0,14,2500,3,4,0
0.91,0.0,0.0,0.0,5,0,0,15,0
0.624,0.0,0.0,2.0,0,0,1,14,1
0.92,1.0,1.0,2.0,5,2500,2,40,0
0.91,1.0,0.0,4.0,21,250,2,27,0
0.926,0.0,0.0,1.0,10,250,5,46,0
0.926,1.0,0.0,1.0,7,75,5,110,0
0.92,1.0,0.0,2.0,13,75,1,96,0
0.92,1.0,0.0,2.0,5,10000,2,57,0
0.92,1.0,2.0,2.0,6,0,1,240,0
0.949,1.0,0.0,2.0,4,75,4,42,0
0.939,1.0,0.0,3.0,7,0,1,16,1
0.64,1.0,0.0,2.0,21,75,0,40,1
0.92,1.0,0.0,2.0,5,250,2,94,0
0.794,0.0,0.0,2.0,9,7500,1,160,0
0.878,0.0,1.0,2.0,10,25,1,25,0
0.516,1.0,0.0,2.0,9,5,1,11,0
0.878,1.0,0.0,1.0,0,250,1,29,0
0.698,1.0,0.0,2.0,8,0,1,23,0
0.727,1.0,0.0,2.0,10,25,2,113,0
0.754,1.0,0.0,2.0,15,0,2,56,0
0.924,0.0,2.0,2.0,2,0,1,39,1
0.92,0.0,0.0,2.0,2,2500,1,20,0
0.92,1.0,2.0,2.0,21,10000,1,40,0
0.92,1.0,0.0,3.0,21,5,5,56,0
0.555,0.0,2.0,2.0,4,0,1,106,0
0.926,1.0,1.0,2.0,19,750,2,64,0
0.754,1.0,0.0,2.0,5,10000,1,51,0
0.855,1.0,2.0,2.0,6,2500,2,41,0
0.92,1.0,0.0,2.0,20,250,5,150,0
0.579,1.0,0.0,2.0,4,25,1,320,0
0.897,1.0,0.0,3.0,7,0,0,20,0
0.804,1.0,2.0,2.0,9,7500,1,74,0
0.855,1.0,0.0,3.0,10,0,1,42,0
0.913,0.0,0.0,1.0,2,250,0,58,0
0.92,0.0,2.0,1.0,3,0,1,126,1
0.92,0.0,0.0,1.0,4,0,1,45,1
0.923,1.0,0.0,2.0,21,25,5,166,0
0.913,1.0,0.0,2.0,2,75,1,110,0
0.92,1.0,2.0,2.0,21,0,1,37,0
0.804,1.0,1.0,2.0,2,0,1,95,1
0.92,1.0,0.0,2.0,21,0,5,29,1
0.926,1.0,0.0,3.0,21,75,5,31,0
0.743,0.0,2.0,3.0,11,75,5,97,0
0.926,0.0,0.0,0.0,3,0,0,16,0
0.92,0.0,0.0,0.0,4,0,0,14,0
0.804,1.0,0.0,4.0,21,250,5,206,0
0.92,1.0,0.0,2.0,2,25,1,204,0
0.92,1.0,0.0,3.0,18,10000,2,116,0
0.804,1.0,0.0,3.0,16,250,4,161,0
0.92,1.0,0.0,2.0,21,0,5,25,1
0.92,1.0,0.0,2.0,18,750,5,94,0
0.92,1.0,0.0,2.0,15,10000,5,16,0
0.698,1.0,2.0,3.0,15,0,1,100,0
0.92,1.0,0.0,2.0,20,10000,0,107,0
0.769,1.0,1.0,3.0,11,0,1,17,0
0.91,1.0,0.0,2.0,10,5,1,140,0
0.939,1.0,0.0,2.0,3,10000,2,75,0
0.939,1.0,0.0,1.0,6,0,1,59,0
0.855,1.0,0.0,3.0,9,250,2,42,1
0.698,1.0,1.0,1.0,9,0,4,74,0
0.91,1.0,0.0,2.0,7,10000,1,22,0
0.804,0.0,0.0,2.0,3,0,0,53,1
0.913,1.0,0.0,3.0,21,750,5,143,0
0.855,1.0,0.0,2.0,14,75,2,72,0
0.92,1.0,0.0,1.0,11,750,1,7,0
0.897,0.0,2.0,2.0,3,75,1,182,0
0.915,1.0,0.0,2.0,15,75,4,50,0
0.887,1.0,0.0,1.0,2,75,1,82,0
0.924,1.0,0.0,2.0,9,25,1,94,0
0.802,1.0,2.0,3.0,5,250,4,124,0
0.6890000000000001,0.0,0.0,0.0,2,0,2,46,0
0.92,1.0,0.0,2.0,9,75,1,17,0
0.92,1.0,0.0,2.0,14,7500,5,101,0
0.897,1.0,0.0,2.0,21,0,1,36,0
0.893,1.0,1.0,2.0,15,0,4,198,0
0.91,0.0,0.0,3.0,5,10000,0,31,0
0.92,1.0,0.0,2.0,21,75,1,31,0
0.92,1.0,0.0,2.0,20,0,5,26,1
0.92,1.0,0.0,2.0,6,75,1,55,0
0.624,1.0,0.0,2.0,11,0,5,8,1
0.91,1.0,0.0,1.0,21,250,5,38,0
0.899,1.0,0.0,2.0,16,0,2,8,0
0.878,1.0,0.0,3.0,21,2500,3,32,1
0.7759999999999999,1.0,1.0,2.0,18,250,5,51,0
0.804,1.0,2.0,2.0,9,7500,2,22,0
0.926,1.0,2.0,1.0,7,0,1,17,0
0.899,1.0,0.0,2.0,5,25,1,19,0
0.624,1.0,2.0,3.0,9,75,2,46,1
0.91,1.0,0.0,2.0,13,75,5,15,0
0.92,1.0,0.0,3.0,21,0,5,23,1
0.893,1.0,0.0,2.0,21,250,5,38,0
0.624,0.0,2.0,3.0,4,0,0,46,1
0.804,0.0,2.0,2.0,0,0,0,214,0
0.92,1.0,0.0,2.0,21,2500,5,52,0
0.92,0.0,0.0,2.0,0,0,0,22,1
0.926,1.0,0.0,3.0,15,250,2,65,0
0.92,1.0,2.0,2.0,14,75,1,64,0
0.92,1.0,0.0,2.0,7,7500,4,86,0
0.887,0.0,2.0,2.0,4,0,1,52,1
0.897,1.0,0.0,3.0,14,0,5,21,0
0.926,0.0,0.0,2.0,3,2500,1,86,0
0.897,0.0,2.0,3.0,5,0,4,288,1
0.91,1.0,0.0,3.0,21,250,5,53,0
0.91,1.0,0.0,3.0,18,0,5,178,0
0.939,1.0,0.0,4.0,21,75,2,166,0
0.924,1.0,0.0,4.0,21,0,1,62,0
0.92,1.0,0.0,2.0,17,250,5,106,0
0.836,0.0,0.0,2.0,6,5,0,58,0
0.92,1.0,0.0,1.0,18,10000,1,80,0
0.939,1.0,0.0,3.0,16,7500,2,166,0
0.895,1.0,0.0,3.0,21,250,1,25,0
0.92,1.0,0.0,2.0,21,10000,0,109,0
0.884,1.0,0.0,2.0,1,5,1,37,0
0.55,0.0,2.0,2.0,4,0,0,55,1
0.89,0.0,0.0,2.0,9,75,3,51,0
0.92,1.0,0.0,2.0,16,75,1,84,0
0.926,1.0,0.0,2.0,21,750,1,72,0
0.887,1.0,0.0,1.0,21,250,1,47,0
0.855,0.0,2.0,2.0,12,0,4,47,0
0.624,1.0,0.0,2.0,8,0,1,198,1
0.92,0.0,0.0,2.0,2,2500,1,64,0
0.8959999999999999,1.0,0.0,3.0,15,10000,5,23,1
0.884,0.0,2.0,3.0,14,250,3,96,0
0.754,1.0,0.0,2.0,9,5,1,8,0
0.762,1.0,0.0,2.0,21,250,1,48,0
0.624,1.0,0.0,2.0,8,25,1,98,1
0.926,0.0,0.0,4.0,7,750,0,46,0
0.92,0.0,2.0,2.0,1,0,1,53,1
0.92,1.0,0.0,2.0,21,5,1,102,0
0.92,0.0,2.0,2.0,4,0,1,76,0
0.92,0.0,0.0,0.0,1,0,0,43,0
0.92,0.0,0.0,2.0,21,75,5,32,0
0.855,1.0,0.0,2.0,5,0,1,54,0
0.767,1.0,2.0,3.0,8,25,1,7,0
0.884,1.0,0.0,3.0,3,0,2,322,1
0.92,1.0,2.0,2.0,4,7500,1,7,0
0.91,1.0,0.0,2.0,16,25,1,53,0
0.855,1.0,0.0,2.0,10,25,1,161,0
0.897,0.0,0.0,3.0,8,25,1,11,0
0.8270000000000001,1.0,0.0,2.0,9,250,2,6,0
0.794,1.0,0.0,3.0,6,75,1,182,0
0.939,1.0,0.0,2.0,21,7500,5,67,0
0.527,0.0,0.0,2.0,1,0,1,50,0
0.884,0.0,1.0,2.0,5,250,1,16,0
0.91,1.0,0.0,2.0,21,10000,5,38,0
0.92,1.0,0.0,2.0,5,25,1,98,0
0.698,0.0,1.0,2.0,4,0,2,7,1
0.92,0.0,2.0,2.0,2,0,1,88,0
0.884,1.0,0.0,3.0,4,250,2,112,0
0.738,1.0,0.0,2.0,9,75,1,9,0
0.855,0.0,2.0,1.0,4,10000,1,36,0
0.91,1.0,0.0,2.0,19,250,4,24,0
0.92,1.0,0.0,3.0,2,10000,1,28,0
0.878,1.0,1.0,2.0,10,75,1,166,0
0.624,1.0,2.0,3.0,10,75,2,61,1
0.762,1.0,0.0,2.0,21,75,3,24,0
0.91,0.0,2.0,2.0,10,0,1,8,1
0.903,1.0,0.0,2.0,9,0,1,133,0
0.855,1.0,0.0,2.0,14,0,5,143,0
0.878,1.0,0.0,2.0,21,25,5,29,0
0.92,1.0,0.0,2.0,7,10000,1,53,0
0.92,1.0,0.0,2.0,9,10000,5,11,1
0.762,1.0,0.0,2.0,8,75,5,87,0
0.92,1.0,0.0,2.0,8,25,1,18,0
0.8270000000000001,1.0,0.0,2.0,9,2500,1,76,1
0.624,1.0,0.0,2.0,6,10000,1,114,0
0.923,1.0,0.0,2.0,21,750,5,80,0
0.7759999999999999,1.0,2.0,2.0,14,2500,0,52,0
0.624,1.0,0.0,2.0,0,75,1,13,0
0.767,1.0,0.0,2.0,4,250,0,42,0
0.767,1.0,1.0,3.0,6,75,1,56,1
0.624,0.0,0.0,0.0,2,0,0,12,1
0.836,1.0,0.0,3.0,2,250,1,36,0
0.926,1.0,0.0,3.0,21,2500,5,67,0
0.624,1.0,0.0,2.0,8,75,1,13,1
0.91,1.0,0.0,4.0,15,10000,1,58,0
0.624,1.0,0.0,2.0,7,250,1,18,1
0.624,1.0,0.0,3.0,2,10000,2,90,1
0.804,1.0,0.0,3.0,2,10000,2,35,0
0.802,1.0,2.0,2.0,0,10000,2,11,0
0.624,1.0,0.0,2.0,4,0,2,15,1
0.92,1.0,0.0,2.0,10,75,5,206,0
0.647,1.0,0.0,3.0,9,75,1,130,0
0.939,1.0,0.0,3.0,21,10000,5,88,0
0.624,0.0,0.0,3.0,0,10000,1,18,0
0.624,1.0,0.0,2.0,8,25,1,41,0
0.926,1.0,1.0,3.0,14,10000,2,16,0
0.924,1.0,0.0,2.0,21,2500,5,95,0
0.92,1.0,0.0,2.0,21,0,5,220,1
0.855,1.0,0.0,3.0,21,75,2,21,0
0.795,1.0,0.0,3.0,21,250,5,94,0
0.92,1.0,0.0,2.0,17,25,3,20,0
0.5579999999999999,0.0,0.0,2.0,8,0,0,47,1
0.92,1.0,0.0,2.0,21,0,2,60,0
0.624,1.0,0.0,2.0,6,10000,4,78,1
0.92,0.0,0.0,2.0,4,10000,1,5,0
0.939,1.0,0.0,2.0,21,10000,3,2,0
0.794,1.0,2.0,2.0,9,250,5,206,0
0.855,0.0,0.0,1.0,12,0,1,90,0
0.682,1.0,0.0,2.0,12,250,3,25,0
0.624,1.0,2.0,2.0,5,25,1,8,1
0.926,1.0,0.0,2.0,9,750,2,22,0
0.92,1.0,0.0,2.0,19,250,5,90,0
0.91,1.0,0.0,2.0,9,5,1,56,0
0.92,1.0,2.0,1.0,10,0,2,81,1
0.926,1.0,0.0,2.0,7,5,1,120,0
0.624,1.0,0.0,2.0,4,75,0,18,1
0.887,1.0,0.0,1.0,21,75,0,19,0
0.802,1.0,2.0,2.0,8,7500,2,314,0
0.939,0.0,0.0,2.0,21,0,2,15,0
0.91,0.0,2.0,2.0,2,0,0,10,0
0.754,1.0,1.0,2.0,3,75,5,39,0
0.624,1.0,0.0,3.0,8,0,1,25,1
0.5579999999999999,0.0,0.0,2.0,0,5,1,146,1
0.624,1.0,0.0,2.0,3,0,1,26,0
0.7959999999999999,1.0,0.0,2.0,11,250,5,25,0
0.92,1.0,0.0,2.0,21,75,5,50,1
0.92,1.0,0.0,2.0,9,10000,5,30,0
0.698,1.0,0.0,2.0,18,10000,4,39,0
0.624,0.0,2.0,1.0,0,0,0,56,1
0.624,1.0,0.0,2.0,7,10000,2,32,0
0.91,1.0,0.0,2.0,21,75,1,43,1
0.74,0.0,0.0,2.0,4,0,1,21,1
0.855,1.0,0.0,2.0,9,10000,2,226,0
0.92,1.0,0.0,2.0,14,0,1,60,0
0.579,1.0,0.0,2.0,2,0,1,9,0
0.624,1.0,0.0,2.0,7,75,1,50,0
0.754,0.0,1.0,1.0,4,2500,1,280,1
0.624,1.0,0.0,3.0,5,250,1,15,1
0.92,1.0,2.0,2.0,5,250,2,14,0
0.91,1.0,0.0,2.0,10,750,1,74,0
0.624,1.0,0.0,2.0,20,0,2,43,1
0.926,1.0,0.0,3.0,14,750,1,52,0
0.624,1.0,0.0,2.0,8,250,1,54,1
0.754,0.0,1.0,2.0,8,5,1,50,0
0.895,1.0,0.0,3.0,17,5,1,42,0
0.91,1.0,0.0,4.0,21,250,4,11,0
0.91,1.0,0.0,3.0,10,75,2,74,0
0.802,1.0,2.0,1.0,7,75,1,17,0
0.89,1.0,2.0,2.0,9,75,5,90,0
0.855,0.0,0.0,3.0,21,250,2,234,0
0.624,0.0,0.0,2.0,3,750,3,11,1
0.924,1.0,0.0,3.0,7,5,1,163,0
0.91,1.0,0.0,2.0,10,75,4,9,0
0.855,0.0,0.0,2.0,5,0,0,36,0
0.8270000000000001,1.0,2.0,2.0,5,25,1,6,0
0.939,1.0,0.0,2.0,11,2500,5,72,0
0.926,1.0,1.0,2.0,18,250,3,84,0
0.698,1.0,0.0,2.0,14,75,5,24,0
0.913,1.0,0.0,1.0,21,25,1,77,0
0.92,1.0,0.0,2.0,20,10000,5,56,0
0.804,1.0,0.0,2.0,13,75,1,22,0
0.92,1.0,0.0,2.0,17,75,2,8,0
0.865,1.0,0.0,3.0,21,0,5,8,0
0.92,0.0,0.0,2.0,21,0,1,55,0
0.624,1.0,2.0,2.0,9,250,1,74,1
0.624,0.0,2.0,3.0,3,0,1,57,1
0.92,1.0,0.0,2.0,21,250,5,151,0
0.624,1.0,0.0,2.0,11,75,1,4,0
0.926,1.0,0.0,2.0,7,10000,3,29,0
0.91,1.0,0.0,3.0,21,10000,2,78,0
0.897,1.0,0.0,3.0,14,2500,5,84,0
0.624,1.0,2.0,2.0,2,5,2,141,1
0.924,1.0,2.0,1.0,8,250,1,41,1
0.866,1.0,0.0,3.0,12,75,1,30,0
0.624,1.0,0.0,2.0,8,250,2,104,1
0.701,0.0,2.0,2.0,2,0,1,108,0
0.91,0.0,0.0,0.0,8,75,2,21,0
0.884,1.0,0.0,2.0,12,5,1,98,0
0.92,1.0,0.0,2.0,21,0,5,44,1
0.92,1.0,0.0,3.0,21,25,5,9,0
0.802,1.0,2.0,2.0,8,250,1,4,0
0.92,1.0,0.0,2.0,21,5,3,53,0
0.926,1.0,0.0,3.0,21,750,5,108,0
0.698,0.0,0.0,3.0,7,0,1,98,1
0.893,1.0,0.0,2.0,5,5,1,112,0
0.893,1.0,0.0,3.0,12,10000,1,107,0
0.7659999999999999,1.0,0.0,2.0,21,0,1,28,1
0.926,1.0,0.0,3.0,21,250,1,24,0
0.516,1.0,2.0,2.0,4,0,1,15,1
0.698,0.0,0.0,1.0,2,0,0,76,0
0.92,1.0,0.0,2.0,12,2500,5,80,0
0.754,1.0,0.0,2.0,21,250,2,96,0
0.624,0.0,0.0,2.0,4,25,1,11,1
0.92,1.0,0.0,2.0,15,25,5,46,0
0.624,1.0,2.0,2.0,5,250,1,20,0
0.92,1.0,0.0,0.0,10,5,1,14,0
